Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
209.45,-3.01,-0.0142,213.19,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,210.75,214.44,2019-08-23 08:30:09.121824
212.46,-0.18,-0.0008,213.19,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,210.75,214.44,2019-08-23 08:30:30.132802
212.46,-0.18,-0.0008,213.19,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,210.75,214.44,2019-08-23 08:30:51.307760
209.68,-2.78,-0.0131,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,209.75,2019-08-23 08:31:12.871233
212.46,-0.18,-0.0008,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,209.99,2019-08-23 08:31:33.825826
212.46,-0.18,-0.0008,213.19,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,210.75,214.44,2019-08-23 08:31:55.548002
209.95,-2.51,-0.0118,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:32:16.605218
209.73,-2.73,-0.0128,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:32:38.132495
209.52,-2.94,-0.0138,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:33:00.246629
209.64,-2.82,-0.0133,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:33:22.012939
209.79,-2.67,-0.0126,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:33:43.204807
209.71,-2.75,-0.0129,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:34:04.564014
209.95,-2.51,-0.0118,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:34:26.003267
209.83,-2.63,-0.0124,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:34:47.371138
209.74,-2.7184,-0.0128,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:35:08.318203
209.8,-2.66,-0.0125,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:35:29.303472
209.76,-2.7,-0.0127,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:35:50.345509
209.66,-2.8,-0.0132,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:36:11.366008
209.81,-2.65,-0.0125,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:36:32.542638
209.74,-2.72,-0.0128,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:36:53.436441
209.7,-2.76,-0.013000000000000001,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:37:14.693441
209.69,-2.775,-0.0131,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:37:36.806340
209.66,-2.805,-0.0132,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:37:57.787019
209.71,-2.7451,-0.0129,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:38:18.548126
209.69,-2.77,-0.013000000000000001,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:38:39.303322
209.82,-2.64,-0.0124,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:39:01.376290
209.72,-2.74,-0.0129,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:39:22.041230
209.75,-2.71,-0.0128,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:39:42.968614
209.72,-2.74,-0.0129,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:40:03.693699
209.85,-2.6089,-0.0123,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:40:24.415437
209.82,-2.64,-0.0124,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:40:45.008883
209.81,-2.65,-0.0125,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:41:05.745219
209.77,-2.69,-0.0127,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:41:26.553680
209.74,-2.72,-0.0128,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:41:47.317246
209.83,-2.6255,-0.0124,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:42:08.081215
209.91,-2.55,-0.012,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:42:28.859116
210.13,-2.33,-0.011000000000000001,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:42:49.694698
210.0,-2.46,-0.0116,209.42,4600000000.0,1.22,1980000.0,11.73,0.77,25860000.0,209.0,210.22,2019-08-23 08:43:10.406696
