Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
31.45,0.67,0.0218,31.47,1080000000.0,1.85,641.09,0.18,,68890000.0,31.33,31.83,2019-08-30 08:30:17.397342
31.45,0.67,0.0218,31.47,1080000000.0,1.85,641.09,0.18,,68890000.0,31.33,31.83,2019-08-30 08:30:39.053906
31.45,0.67,0.0218,31.47,1080000000.0,1.85,641.09,0.18,,68890000.0,31.33,31.83,2019-08-30 08:31:02.293081
31.51,0.0573,0.0018,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.5,31.73,2019-08-30 08:31:32.227681
31.52,0.07,0.0022,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.45,31.73,2019-08-30 08:32:02.693130
31.61,0.1561,0.005,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.45,31.73,2019-08-30 08:32:25.710878
31.54,0.08800000000000001,0.0028000000000000004,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.45,31.73,2019-08-30 08:32:47.854807
31.48,0.03,0.001,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.45,31.73,2019-08-30 08:33:09.602718
31.47,0.02,0.0006,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.45,31.73,2019-08-30 08:33:31.496720
31.47,0.0185,0.0006,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:33:53.380563
31.49,0.04,0.0013,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:34:15.797085
31.49,0.04,0.0013,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:34:38.113883
31.5,0.0468,0.0015,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:34:59.798939
31.52,0.065,0.0021,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:35:21.518368
31.54,0.085,0.0027,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:35:43.853402
31.56,0.105,0.0033,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:36:06.044581
31.6,0.145,0.0046,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:36:28.500809
31.56,0.105,0.0033,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:36:52.565942
31.59,0.1372,0.0044,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:37:15.069715
31.6,0.145,0.0046,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:37:37.106089
31.58,0.1293,0.0041,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:37:58.958031
31.59,0.14,0.0045000000000000005,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:38:20.798959
31.62,0.1729,0.0055000000000000005,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:38:42.081356
31.64,0.1916,0.0061,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:39:03.467630
31.67,0.22,0.006999999999999999,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.73,2019-08-30 08:39:24.902122
31.72,0.27,0.0086,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.74,2019-08-30 08:39:46.510752
31.75,0.3,0.0095,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:40:07.550046
31.74,0.29,0.0092,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:40:29.512138
31.72,0.265,0.0084,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:40:51.315166
31.74,0.29,0.0092,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:41:13.173183
31.73,0.28,0.0089,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:41:34.759917
31.73,0.2799,0.0089,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:41:56.889343
31.73,0.28,0.0089,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:42:18.500838
31.74,0.29,0.0092,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:42:40.243912
31.75,0.3,0.0095,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:43:03.120609
31.72,0.27,0.0086,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:43:24.989786
31.74,0.293,0.0093,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:43:46.744591
31.74,0.29,0.0092,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:44:08.270195
31.73,0.28,0.0089,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:44:30.672228
31.67,0.2246,0.0071,31.59,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:44:52.615264
31.67,0.215,0.0068000000000000005,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:45:14.831755
31.66,0.21,0.0067,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:45:37.519420
31.67,0.22,0.006999999999999999,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:45:59.213887
31.72,0.27,0.0086,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:46:21.198994
31.74,0.2897,0.0092,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:46:43.236444
31.73,0.2772,0.0088,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:47:04.672577
31.72,0.265,0.0084,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.75,2019-08-30 08:47:26.323568
31.78,0.32899999999999996,0.0105,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.78,2019-08-30 08:47:47.984338
31.76,0.31,0.0099,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.8,2019-08-30 08:48:10.220626
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.8,2019-08-30 08:48:31.947386
31.8,0.345,0.011000000000000001,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.8,2019-08-30 08:48:53.954148
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.82,2019-08-30 08:49:16.526794
31.81,0.36,0.0114,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.82,2019-08-30 08:49:38.864662
31.83,0.38,0.0121,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.83,2019-08-30 08:50:00.200868
31.81,0.355,0.0113,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.83,2019-08-30 08:50:21.879346
31.82,0.37,0.0118,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.83,2019-08-30 08:50:43.469715
31.81,0.36,0.0114,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.83,2019-08-30 08:51:05.166960
31.83,0.382,0.0121,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:51:26.543172
31.81,0.36,0.0114,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:51:48.208056
31.74,0.2899,0.0092,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:52:09.794004
31.75,0.3,0.0095,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:52:31.302817
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:52:53.002226
31.75,0.3032,0.0096,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:53:14.770446
31.77,0.315,0.01,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:53:37.052469
31.77,0.315,0.01,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:53:59.103141
31.77,0.319,0.0101,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:54:21.411092
31.78,0.325,0.0103,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:54:43.157706
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:55:04.854301
31.75,0.3,0.0095,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:55:26.403842
31.73,0.28,0.0089,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:55:48.425761
31.69,0.2428,0.0077,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:56:10.211012
31.71,0.255,0.008100000000000001,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:56:31.963709
31.7,0.25,0.0079,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:56:53.923434
31.72,0.265,0.0084,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:57:15.260447
31.72,0.2658,0.0085,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:57:36.839883
31.73,0.275,0.0087,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:57:58.610999
31.74,0.285,0.0091,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:58:20.498735
31.71,0.2599,0.0083,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:58:42.463159
31.72,0.27,0.0086,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:59:04.091279
31.74,0.285,0.0091,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:59:27.189761
31.75,0.3,0.0095,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 08:59:49.232019
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 09:00:11.442423
31.77,0.32,0.0102,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 09:00:33.544852
31.79,0.34,0.0108,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.84,2019-08-30 09:00:55.906661
31.85,0.395,0.0126,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.85,2019-08-30 09:01:17.507272
31.84,0.385,0.0122,31.6,1080000000.0,1.85,641.09,0.18,,68890000.0,31.43,31.86,2019-08-30 09:01:40.331389
