Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
181.5,-2.05,-0.011200000000000002,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:06:09.872096
181.54,-2.0099,-0.011,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:06:31.810108
181.6,-1.95,-0.0106,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:06:53.622840
181.63,-1.92,-0.0105,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:07:15.059620
181.72,-1.83,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:07:37.188299
181.7,-1.85,-0.0101,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:07:58.531365
181.7,-1.85,-0.0101,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:08:20.324235
181.81,-1.74,-0.0095,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:08:41.893408
181.76,-1.7854,-0.0097,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:09:03.418063
181.82,-1.73,-0.0094,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:09:25.185651
181.92,-1.63,-0.0089,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:09:46.590310
181.89,-1.66,-0.009000000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:10:08.517718
181.85,-1.7,-0.0093,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:10:29.949594
181.88,-1.67,-0.0091,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:10:50.886833
181.86,-1.69,-0.0092,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:11:12.638959
181.8,-1.75,-0.0095,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:11:34.523383
181.77,-1.78,-0.0097,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:11:56.537676
181.73,-1.82,-0.0099,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:12:17.705656
181.72,-1.83,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:12:39.440913
181.72,-1.83,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:13:01.052831
181.75,-1.8,-0.0098,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:13:22.531694
181.75,-1.8007,-0.0098,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:13:45.839121
181.75,-1.8,-0.0098,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:14:07.168262
181.73,-1.82,-0.0099,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:14:28.711518
181.73,-1.82,-0.0099,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:14:50.192054
181.73,-1.8225,-0.0099,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:15:12.151499
181.72,-1.83,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:15:33.463875
181.74,-1.8101,-0.0099,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:15:54.971415
181.76,-1.79,-0.0098,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:16:16.523447
181.71,-1.84,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:16:37.452808
181.67,-1.88,-0.0102,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:16:58.666121
181.72,-1.835,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:17:19.495521
181.71,-1.84,-0.01,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:17:40.910001
181.78,-1.775,-0.0097,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:18:03.054524
181.78,-1.77,-0.0096,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:18:24.179458
181.81,-1.74,-0.0095,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:18:45.300913
181.82,-1.73,-0.0094,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:19:06.687198
181.76,-1.79,-0.0098,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:19:27.601272
181.79,-1.76,-0.0096,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:19:48.605216
181.82,-1.73,-0.0094,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:20:09.876643
181.83,-1.72,-0.0094,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:20:30.987551
181.83,-1.72,-0.0094,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:20:52.112707
181.9,-1.65,-0.009000000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:21:13.358487
182.11,-1.44,-0.0078,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:21:34.401266
182.07,-1.48,-0.008100000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:21:55.341877
182.06,-1.4903,-0.008100000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:22:16.694084
182.22,-1.33,-0.0072,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:22:37.807640
182.18,-1.37,-0.0075,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:22:59.139712
182.14,-1.41,-0.0077,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:23:20.450924
182.19,-1.36,-0.0074,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:23:41.375598
182.14,-1.415,-0.0077,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:24:02.852915
182.21,-1.34,-0.0073,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:24:24.718647
182.19,-1.36,-0.0074,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:24:45.699881
182.28,-1.2690000000000001,-0.0069,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:25:07.205299
182.28,-1.2675,-0.0069,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:25:28.683255
182.31,-1.24,-0.0068000000000000005,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:25:49.967694
182.26,-1.29,-0.006999999999999999,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:26:10.931144
182.25,-1.3028,-0.0071,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:26:32.436505
182.27,-1.28,-0.006999999999999999,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:26:53.666157
182.21,-1.34,-0.0073,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:27:14.796078
182.23,-1.32,-0.0072,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:27:35.879935
182.22,-1.33,-0.0072,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:27:57.188873
182.18,-1.3686,-0.0075,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:28:18.535325
182.1,-1.45,-0.0079,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:28:40.082071
182.03,-1.52,-0.0083,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:29:01.494119
182.02,-1.535,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:29:22.430312
182.06,-1.495,-0.008100000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:29:43.427984
182.02,-1.5307,-0.0083,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:30:04.508943
181.99,-1.565,-0.0085,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:30:25.369556
182.0,-1.55,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:30:46.649998
182.01,-1.54,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:31:07.704554
182.01,-1.54,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:31:29.343021
182.02,-1.53,-0.0083,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:31:50.498878
182.07,-1.48,-0.008100000000000001,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:32:11.679744
181.97,-1.5776,-0.0086,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:32:32.776618
181.98,-1.57,-0.0086,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:32:53.940764
181.99,-1.56,-0.0085,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:33:14.954999
182.0,-1.55,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:33:36.175773
181.99,-1.5625,-0.0085,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:33:57.592792
182.01,-1.54,-0.0084,183.43,2410000000.0,1.19,1570000.0,5.9,,16510000.000000002,179.91,184.11,2019-08-22 12:34:19.200636
