Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
8.11,0.17,0.0214,8.04,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.0,8.2,2019-08-30 08:30:18.624417
8.11,0.17,0.0214,8.04,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.0,8.2,2019-08-30 08:30:40.222588
8.16,0.045,0.0055000000000000005,8.04,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.0,8.2,2019-08-30 08:31:03.471627
8.13,0.0243,0.003,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.16,2019-08-30 08:31:41.171716
8.15,0.0361,0.0045000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.16,2019-08-30 08:32:04.421532
8.16,0.0477,0.0059,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.16,2019-08-30 08:32:26.990598
8.16,0.045,0.0055000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:32:48.972434
8.16,0.0499,0.0062,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:33:10.644781
8.16,0.045,0.0055000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:33:32.656095
8.16,0.0485,0.006,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:33:54.693820
8.17,0.06,0.0074,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:34:17.089129
8.16,0.05,0.0062,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:34:39.414256
8.17,0.055999999999999994,0.0069,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:35:00.869957
8.16,0.054000000000000006,0.0067,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.17,2019-08-30 08:35:22.731808
8.18,0.065,0.008,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:35:44.896151
8.18,0.07,0.0086,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:36:07.288179
8.17,0.0641,0.0079,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:36:29.717929
8.17,0.055,0.0068000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:36:53.753846
8.17,0.055,0.0068000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:37:16.450798
8.16,0.0545,0.0067,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:37:38.231563
8.16,0.05,0.0062,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:38:00.289964
8.17,0.0572,0.0071,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:38:21.915782
8.16,0.0533,0.0066,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:38:43.041322
8.17,0.055,0.0068000000000000005,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:39:04.598441
8.18,0.065,0.008,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:39:26.058707
8.18,0.07,0.0086,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.18,2019-08-30 08:39:47.582682
8.19,0.075,0.0092,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.19,2019-08-30 08:40:08.581155
8.18,0.0722,0.0089,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.19,2019-08-30 08:40:30.603669
8.19,0.075,0.0092,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.19,2019-08-30 08:40:52.387430
8.18,0.07,0.0086,8.13,8720000000.0,0.97,429.74,-2.45,0.01,64550000.0,8.12,8.19,2019-08-30 08:41:14.484449
