Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
295.06,-1.87,-0.0063,298.65,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.15,300.33,2019-08-23 08:30:12.215513
296.93,-0.88,-0.003,298.65,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.15,300.33,2019-08-23 08:30:33.147101
293.94,-2.99,-0.0101,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.05,2019-08-23 08:30:54.596752
294.38,-2.555,-0.0086,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.05,2019-08-23 08:31:15.962866
296.93,-0.88,-0.003,298.65,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.15,300.33,2019-08-23 08:31:37.007999
296.93,-0.88,-0.003,298.65,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.15,300.33,2019-08-23 08:31:58.379492
294.23,-2.7,-0.0091,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.05,2019-08-23 08:32:20.113655
294.49,-2.44,-0.008199999999999999,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.05,2019-08-23 08:32:41.500146
294.36,-2.57,-0.0087,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.05,2019-08-23 08:33:03.440617
295.64,-1.2932,-0.0044,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.72,2019-08-23 08:33:25.030124
295.88,-1.05,-0.0035,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,295.99,2019-08-23 08:33:46.235439
296.6,-0.33,-0.0011,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,296.78,2019-08-23 08:34:07.637900
296.96,0.0342,0.0001,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:34:29.228870
296.81,-0.12,-0.0004,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:34:50.307576
296.6,-0.335,-0.0011,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:35:11.284528
296.0,-0.93,-0.0031,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:35:32.404397
295.54,-1.389,-0.004699999999999999,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:35:53.244512
296.18,-0.75,-0.0025,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:36:14.374262
296.6,-0.33,-0.0011,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:36:35.610065
296.38,-0.55,-0.0019,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:36:56.541566
296.29,-0.64,-0.0022,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:37:17.586965
296.59,-0.34,-0.0011,295.0,437840000.0,1.53,2220000.0,2.55,,6830000.0,293.57,297.1,2019-08-23 08:37:39.775629
