Price,Price Change,Price Percent Change,Open,Shares Outstanding,Beta,Rev. per Employee,EPS,Dividend,Average Volume,Day Range Low,Day Range High,Time
219.73,-2.42,-0.0109,222.8,179130000.0,1.3,439.63,-3.84,,9120000.0,218.22,225.4,2019-08-23 08:30:10.157094
222.15,1.32,0.006,222.8,179130000.0,1.3,439.63,-3.84,,9120000.0,218.22,225.4,2019-08-23 08:30:31.149004
222.15,1.32,0.006,222.8,179130000.0,1.3,439.63,-3.84,,9120000.0,218.22,225.4,2019-08-23 08:30:52.398695
222.15,1.32,0.006,222.8,179130000.0,1.3,439.63,-3.84,,9120000.0,218.22,225.4,2019-08-23 08:31:13.804670
219.59,-2.56,-0.0115,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,219.06,219.97,2019-08-23 08:31:34.858532
222.15,1.32,0.006,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,219.06,219.97,2019-08-23 08:31:56.475090
219.25,-2.9,-0.0131,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,219.06,220.11,2019-08-23 08:32:17.742476
219.14,-3.01,-0.013500000000000002,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.11,2019-08-23 08:32:39.121217
219.09,-3.0638,-0.0138,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.11,2019-08-23 08:33:01.152338
219.32,-2.83,-0.0127,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.11,2019-08-23 08:33:22.993118
220.0,-2.15,-0.0097,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:33:44.193294
219.7,-2.45,-0.011000000000000001,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:34:05.522388
219.96,-2.1903,-0.0099,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:34:27.110733
219.91,-2.24,-0.0101,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:34:48.228845
219.63,-2.52,-0.0113,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:35:09.333502
219.34,-2.81,-0.0126,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:35:30.355891
219.13,-3.02,-0.0136,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.79,220.32,2019-08-23 08:35:51.272570
218.8,-3.35,-0.0151,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:36:12.477769
218.95,-3.2,-0.0144,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:36:33.628093
218.82,-3.33,-0.015,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:36:54.474711
219.18,-2.97,-0.0134,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:37:15.674451
220.3,-1.8493,-0.0083,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:37:37.836975
219.98,-2.17,-0.0098,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.32,2019-08-23 08:37:58.801965
220.5,-1.65,-0.0074,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.5,2019-08-23 08:38:19.451270
220.23,-1.92,-0.0086,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:38:40.342696
220.07,-2.08,-0.0094,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:39:02.378424
220.16,-1.99,-0.009000000000000001,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:39:22.970648
219.81,-2.34,-0.0105,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:39:43.957010
219.92,-2.23,-0.01,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:40:04.650609
220.23,-1.92,-0.0086,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:40:25.319860
220.05,-2.1,-0.0095,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:40:45.958724
219.8,-2.35,-0.0106,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:41:06.800847
219.85,-2.3,-0.0104,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:41:27.508546
219.77,-2.38,-0.0107,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:41:48.322909
220.0,-2.15,-0.0097,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:42:08.980556
220.15,-2.0,-0.009000000000000001,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:42:29.852674
219.95,-2.2,-0.0099,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:42:50.667552
219.78,-2.3672,-0.0107,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:43:11.297661
219.75,-2.4,-0.0108,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:43:32.094652
220.0,-2.15,-0.0097,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:43:52.917454
219.78,-2.37,-0.0107,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:44:13.973485
220.06,-2.09,-0.0094,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:44:34.815590
219.78,-2.37,-0.0107,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:44:55.463808
219.73,-2.42,-0.0109,219.5,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:45:16.209710
219.62,-2.53,-0.0114,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:45:37.224538
219.34,-2.81,-0.0126,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:45:58.374309
219.36,-2.7910000000000004,-0.0126,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:46:19.344470
219.76,-2.395,-0.0108,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:46:40.317666
219.5,-2.65,-0.0119,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:47:01.136247
219.6,-2.555,-0.0115,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:47:22.223678
219.53,-2.62,-0.0118,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:47:42.867358
219.35,-2.8,-0.0126,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:48:03.661960
219.12,-3.03,-0.0136,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:48:24.803752
219.0,-3.15,-0.0142,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.74,220.57,2019-08-23 08:48:45.416562
218.61,-3.54,-0.0159,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.61,220.57,2019-08-23 08:49:06.181885
218.57,-3.58,-0.0161,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.4,220.57,2019-08-23 08:49:27.305680
218.31,-3.84,-0.0173,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.31,220.57,2019-08-23 08:49:48.503534
218.64,-3.51,-0.0158,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.31,220.57,2019-08-23 08:50:09.344433
218.5,-3.65,-0.016399999999999998,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.31,220.57,2019-08-23 08:50:30.357125
218.2,-3.95,-0.0178,219.97,179130000.0,1.3,439.63,-3.84,,9120000.0,218.15,220.57,2019-08-23 08:50:51.045231
